UIC;Gare enquêtée;Motif du déplacement;Répartition;Année
611004;Toulouse Matabiau;Loisirs, vacances, visite d'un proche ou ami;33;2014
547000;Paris Austerlitz;Déplacement domicile - étude (y compris stage);5;2013
476002;Lorient;Loisirs, vacances, visite d'un proche ou ami;28;2010
471003;Rennes;Loisirs, vacances, visite d'un proche ou ami;28;2014
481002;Nantes;Loisirs, vacances, visite d'un proche ou ami;26;2014
583005;Angoulême;Déplacement professionnel occasionnel;16;2012
476002;Lorient;Déplacement professionnel occasionnel;30;2010
478404;Laval;Déplacement domicile - travail habituel;37;2011
571000;Tours;Déplacement professionnel occasionnel;20;2016
581009;Bordeaux Saint-Jean;;0;2014
384008;Paris St Lazare;Loisirs, vacances, visite d'un proche ou ami;14;2013
411017;Rouen Rive Droite;Déplacement domicile - travail habituel;36;2014
393702;Massy TGV;Loisirs, vacances, visite d'un proche ou ami;29;2013
396002;Le Mans;Loisirs, vacances, visite d'un proche ou ami;24;2015
471003;Rennes;Démarches administratives, médicales ou achat;2;2014
444000;Caen;Déplacement domicile - étude (y compris stage);17;2012
345025;Lens;Loisirs, vacances, visite d'un proche ou ami;23;2016
471003;Rennes;Déplacement professionnel occasionnel;21;2014
345025;Lens;Déplacement professionnel occasionnel;5;2016
384008;Paris St Lazare;;1;2013
718007;Besançon-Viotte;Déplacement domicile - étude (y compris stage);21;2012
718007;Besançon-Viotte;Démarches administratives, médicales ou achat;4;2012
718007;Besançon-Viotte;Loisirs, vacances, visite d'un proche ou ami;15;2012
723197;Lyon Part Dieu;Loisirs, vacances, visite d'un proche ou ami;31;2011
722025;Lyon Perrache;Déplacement domicile - étude (y compris stage);18;2011
723197;Lyon Part Dieu;Déplacement professionnel occasionnel;22;2011
673004;Bayonne;Loisirs, vacances, visite d'un proche ou ami;42;2013
677005;Hendaye;Loisirs, vacances, visite d'un proche ou ami;67;2016
677005;Hendaye;Démarches administratives, médicales ou achat;5;2016
673400;Biarritz;Déplacement professionnel occasionnel;13;2016
763029;Valence TGV Rhône-Alpes Sud;Déplacement professionnel occasionnel;46;2015
773002;Montpellier Saint-Roch;Déplacement domicile - étude (y compris stage);18;2015
762906;Lyon Saint Exupery TGV;Loisirs, vacances, visite d'un proche ou ami;47;2016
762906;Lyon Saint Exupery TGV;Déplacement domicile - travail habituel;13;2016
747006;Grenoble;Déplacement domicile - étude (y compris stage);15;2015
753657;Arles;Démarches administratives, médicales ou achat;2;2014
756056;Nice;Démarches administratives, médicales ou achat;6;2014
271494;Aéroport Charles de Gaulle 2 TGV;Déplacement domicile - étude (y compris stage);1;2013
300822;Belfort Montbéliard TGV;Démarches administratives, médicales ou achat;2;2015
286005;Lille Flandres;Déplacement domicile - étude (y compris stage);20;2013
271007;Paris Nord;Déplacement domicile - étude (y compris stage);7;2012
182063;Mulhouse;Déplacement domicile - étude (y compris stage);21;2014
118000;Troyes;Démarches administratives, médicales ou achat;5;2015
118000;Troyes;Loisirs, vacances, visite d'un proche ou ami;21;2015
313874;Amiens;Démarches administratives, médicales ou achat;4;2015
171009;Reims;Déplacement domicile - travail habituel;41;2016
171009;Reims;Déplacement professionnel occasionnel;14;2016
113001;Paris Est;Loisirs, vacances, visite d'un proche ou ami;16;2012
113001;Paris Est;Démarches administratives, médicales ou achat;2;2012
212027;Strasbourg;Déplacement domicile - travail habituel;42;2016
141002;Nancy;Démarches administratives, médicales ou achat;5;2014
192039;Metz;Démarches administratives, médicales ou achat;4;2016
182014;Colmar;Déplacement professionnel occasionnel;13;2017
;Paris Bercy;Déplacement domicile - travail habituel;50;2012
;Paris Bercy;Déplacement professionnel occasionnel;18;2012
300863;Besançon Franche-Comté TGV;Déplacement domicile - travail habituel;16;2015
300822;Belfort Montbéliard TGV;Déplacement domicile - étude (y compris stage);3;2015
111849;Marne la Vallée Chessy;Loisirs, vacances, visite d'un proche ou ami;52;2013
300822;Belfort Montbéliard TGV;Déplacement domicile - travail habituel;11;2015
411017;Rouen Rive Droite;Déplacement domicile - étude (y compris stage);26;2014
411017;Rouen Rive Droite;Démarches administratives, médicales ou achat;4;2014
286005;Lille Flandres;Loisirs, vacances, visite d'un proche ou ami;15;2013
271007;Paris Nord;Démarches administratives, médicales ou achat;3;2012
393702;Massy TGV;Déplacement professionnel occasionnel;62;2013
393702;Massy TGV;;0;2013
581009;Bordeaux Saint-Jean;Déplacement professionnel occasionnel;22;2014
484006;Angers Saint Laud;Déplacement domicile - travail habituel;41;2015
583005;Angoulême;Déplacement domicile - étude (y compris stage);20;2012
575001;Poitiers;Loisirs, vacances, visite d'un proche ou ami;29;2015
476002;Lorient;Déplacement domicile - étude (y compris stage);15;2010
471003;Rennes;Déplacement domicile - étude (y compris stage);11;2014
476002;Lorient;Démarches administratives, médicales ou achat;2;2010
571000;Tours;Loisirs, vacances, visite d'un proche ou ami;21;2016
478404;Laval;Loisirs, vacances, visite d'un proche ou ami;29;2011
444000;Caen;Déplacement domicile - travail habituel;45;2012
751008;Marseille Saint-Charles;Déplacement domicile - étude (y compris stage);17;2013
751008;Marseille Saint-Charles;Démarches administratives, médicales ou achat;3;2013
762906;Lyon Saint Exupery TGV;Démarches administratives, médicales ou achat;1;2016
751008;Marseille Saint-Charles;Déplacement domicile - travail habituel;35;2013
747006;Grenoble;Loisirs, vacances, visite d'un proche ou ami;21;2015
757625;Cannes;Déplacement domicile - travail habituel;29;2015
755009;Toulon;Déplacement domicile - travail habituel;15;2014
757625;Cannes;Déplacement professionnel occasionnel;5;2015
756056;Nice;Déplacement domicile - travail habituel;33;2014
763029;Valence TGV Rhône-Alpes Sud;;0;2015
686006;Paris Gare de Lyon;Déplacement domicile - étude (y compris stage);9;2012
686006;Paris Gare de Lyon;Loisirs, vacances, visite d'un proche ou ami;29;2012
686006;Paris Gare de Lyon;Déplacement domicile - travail habituel;37;2012
673400;Biarritz;Déplacement domicile - étude (y compris stage);10;2016
747006;Grenoble;Démarches administratives, médicales ou achat;3;2015
677005;Hendaye;Déplacement domicile - étude (y compris stage);9;2016
673004;Bayonne;Déplacement domicile - étude (y compris stage);17;2013
673400;Biarritz;Déplacement domicile - travail habituel;12;2016
747006;Grenoble;Déplacement professionnel occasionnel;14;2015
673004;Bayonne;Déplacement domicile - travail habituel;22;2013
391003;Paris Montparnasse 1 et 2 + Vaugirard;Déplacement domicile - étude (y compris stage);6;2012
763029;Valence TGV Rhône-Alpes Sud;Déplacement domicile - étude (y compris stage);4;2015
763029;Valence TGV Rhône-Alpes Sud;Démarches administratives, médicales ou achat;1;2015
300863;Besançon Franche-Comté TGV;Loisirs, vacances, visite d'un proche ou ami;25;2015
773002;Montpellier Saint-Roch;Démarches administratives, médicales ou achat;4;2015
773002;Montpellier Saint-Roch;Loisirs, vacances, visite d'un proche ou ami;37;2015
775007;Nîmes;Déplacement domicile - étude (y compris stage);16;2014
111849;Marne la Vallée Chessy;Déplacement domicile - travail habituel;12;2013
111849;Marne la Vallée Chessy;Déplacement professionnel occasionnel;34;2013
113001;Paris Est;Déplacement professionnel occasionnel;14;2012
141002;Nancy;Déplacement domicile - travail habituel;26;2014
;Paris Bercy;Déplacement domicile - étude (y compris stage);6;2012
113001;Paris Est;;6;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Déplacement professionnel occasionnel;26;2012
484006;Angers Saint Laud;Déplacement domicile - étude (y compris stage);12;2015
411017;Rouen Rive Droite;Loisirs, vacances, visite d'un proche ou ami;19;2014
547000;Paris Austerlitz;Démarches administratives, médicales ou achat;3;2013
384008;Paris St Lazare;Déplacement domicile - étude (y compris stage);10;2013
384008;Paris St Lazare;Déplacement professionnel occasionnel;6;2013
444000;Caen;Loisirs, vacances, visite d'un proche ou ami;22;2012
396002;Le Mans;Déplacement professionnel occasionnel;20;2015
481002;Nantes;Déplacement professionnel occasionnel;22;2014
481002;Nantes;;2;2014
751008;Marseille Saint-Charles;Loisirs, vacances, visite d'un proche ou ami;28;2013
718007;Besançon-Viotte;Déplacement domicile - travail habituel;40;2012
718007;Besançon-Viotte;Déplacement professionnel occasionnel;21;2012
755009;Toulon;Déplacement domicile - étude (y compris stage);16;2014
713040;Dijon;Déplacement domicile - étude (y compris stage);23;2015
713040;Dijon;Loisirs, vacances, visite d'un proche ou ami;26;2015
747006;Grenoble;Déplacement domicile - travail habituel;46;2015
677005;Hendaye;Déplacement professionnel occasionnel;14;2016
713040;Dijon;Déplacement domicile - travail habituel;23;2015
686006;Paris Gare de Lyon;;0;2012
773002;Montpellier Saint-Roch;Déplacement domicile - travail habituel;21;2015
784009;Perpignan;Démarches administratives, médicales ou achat;6;2016
784009;Perpignan;Loisirs, vacances, visite d'un proche ou ami;47;2016
755009;Toulon;Loisirs, vacances, visite d'un proche ou ami;56;2014
757625;Cannes;Démarches administratives, médicales ou achat;4;2015
775007;Nîmes;Loisirs, vacances, visite d'un proche ou ami;37;2014
784009;Perpignan;Déplacement professionnel occasionnel;17;2016
775007;Nîmes;Déplacement professionnel occasionnel;19;2014
271494;Aéroport Charles de Gaulle 2 TGV;Déplacement domicile - travail habituel;8;2013
300863;Besançon Franche-Comté TGV;Déplacement domicile - étude (y compris stage);15;2015
384008;Paris St Lazare;Démarches administratives, médicales ou achat;4;2013
384008;Paris St Lazare;Déplacement domicile - travail habituel;65;2013
286005;Lille Flandres;Déplacement professionnel occasionnel;15;2013
223263;Lille Europe;Déplacement professionnel occasionnel;29;2013
345025;Lens;Déplacement domicile - étude (y compris stage);28;2016
313874;Amiens;Déplacement professionnel occasionnel;6;2015
345025;Lens;Déplacement domicile - travail habituel;40;2016
271007;Paris Nord;;0;2012
611004;Toulouse Matabiau;Déplacement domicile - étude (y compris stage);22;2014
583005;Angoulême;Loisirs, vacances, visite d'un proche ou ami;45;2012
575001;Poitiers;Déplacement domicile - étude (y compris stage);12;2015
673400;Biarritz;Démarches administratives, médicales ou achat;5;2016
571000;Tours;Déplacement domicile - étude (y compris stage);13;2016
571000;Tours;Démarches administratives, médicales ou achat;3;2016
583005;Angoulême;Déplacement domicile - travail habituel;19;2012
673004;Bayonne;Déplacement professionnel occasionnel;17;2013
571000;Tours;Déplacement domicile - travail habituel;42;2016
583005;Angoulême;;0;2012
223263;Lille Europe;Déplacement domicile - étude (y compris stage);5;2013
223263;Lille Europe;Démarches administratives, médicales ou achat;1;2013
212027;Strasbourg;Loisirs, vacances, visite d'un proche ou ami;16;2016
182063;Mulhouse;Loisirs, vacances, visite d'un proche ou ami;22;2014
182063;Mulhouse;Démarches administratives, médicales ou achat;3;2014
223263;Lille Europe;Déplacement domicile - travail habituel;38;2013
182014;Colmar;Démarches administratives, médicales ou achat;3;2017
171009;Reims;Démarches administratives, médicales ou achat;3;2016
182063;Mulhouse;Déplacement domicile - travail habituel;34;2014
192039;Metz;Déplacement domicile - étude (y compris stage);17;2016
484006;Angers Saint Laud;Loisirs, vacances, visite d'un proche ou ami;19;2015
547000;Paris Austerlitz;Loisirs, vacances, visite d'un proche ou ami;33;2013
686006;Paris Gare de Lyon;Déplacement professionnel occasionnel;25;2012
611004;Toulouse Matabiau;Déplacement domicile - travail habituel;24;2014
611004;Toulouse Matabiau;Déplacement professionnel occasionnel;16;2014
575001;Poitiers;Démarches administratives, médicales ou achat;4;2015
673400;Biarritz;Loisirs, vacances, visite d'un proche ou ami;60;2016
673004;Bayonne;Démarches administratives, médicales ou achat;2;2013
575001;Poitiers;Déplacement domicile - travail habituel;24;2015
575001;Poitiers;Déplacement professionnel occasionnel;31;2015
271494;Aéroport Charles de Gaulle 2 TGV;Loisirs, vacances, visite d'un proche ou ami;55;2013
271494;Aéroport Charles de Gaulle 2 TGV;Déplacement professionnel occasionnel;35;2013
300863;Besançon Franche-Comté TGV;Déplacement professionnel occasionnel;43;2015
271007;Paris Nord;Loisirs, vacances, visite d'un proche ou ami;20;2012
313874;Amiens;Déplacement domicile - étude (y compris stage);53;2015
182014;Colmar;Loisirs, vacances, visite d'un proche ou ami;21;2017
271007;Paris Nord;Déplacement professionnel occasionnel;24;2012
192039;Metz;Loisirs, vacances, visite d'un proche ou ami;19;2016
313874;Amiens;Déplacement domicile - travail habituel;23;2015
192039;Metz;Déplacement professionnel occasionnel;19;2016
391003;Paris Montparnasse 1 et 2 + Vaugirard;Déplacement domicile - travail habituel;34;2012
393702;Massy TGV;Déplacement domicile - étude (y compris stage);1;2013
444877;Cherbourg;Loisirs, vacances, visite d'un proche ou ami;20;2015
396002;Le Mans;Déplacement domicile - étude (y compris stage);15;2015
481002;Nantes;Démarches administratives, médicales ou achat;1;2014
393702;Massy TGV;Déplacement domicile - travail habituel;8;2013
444877;Cherbourg;Déplacement domicile - travail habituel;57;2015
396002;Le Mans;Déplacement domicile - travail habituel;37;2015
481002;Nantes;Déplacement domicile - travail habituel;39;2014
476002;Lorient;;1;2010
773002;Montpellier Saint-Roch;Déplacement professionnel occasionnel;20;2015
762906;Lyon Saint Exupery TGV;Déplacement professionnel occasionnel;38;2016
723197;Lyon Part Dieu;Déplacement domicile - étude (y compris stage);12;2011
723197;Lyon Part Dieu;Démarches administratives, médicales ou achat;2;2011
757625;Cannes;Déplacement domicile - étude (y compris stage);31;2015
757625;Cannes;Loisirs, vacances, visite d'un proche ou ami;32;2015
753657;Arles;Loisirs, vacances, visite d'un proche ou ami;39;2014
756056;Nice;Loisirs, vacances, visite d'un proche ou ami;32;2014
713040;Dijon;Déplacement professionnel occasionnel;23;2015
756056;Nice;Déplacement professionnel occasionnel;9;2014
784009;Perpignan;Déplacement domicile - travail habituel;22;2016
111849;Marne la Vallée Chessy;Déplacement domicile - étude (y compris stage);2;2013
113001;Paris Est;Déplacement domicile - étude (y compris stage);10;2012
141002;Nancy;Déplacement domicile - étude (y compris stage);26;2014
171009;Reims;Loisirs, vacances, visite d'un proche ou ami;17;2016
182014;Colmar;Déplacement domicile - travail habituel;39;2017
141002;Nancy;Déplacement professionnel occasionnel;19;2014
;Paris Bercy;Loisirs, vacances, visite d'un proche ou ami;26;2012
118000;Troyes;Déplacement domicile - étude (y compris stage);14;2015
182014;Colmar;Déplacement domicile - étude (y compris stage);23;2017
171009;Reims;Déplacement domicile - étude (y compris stage);25;2016
141002;Nancy;Loisirs, vacances, visite d'un proche ou ami;23;2014
113001;Paris Est;Déplacement domicile - travail habituel;51;2012
118000;Troyes;Déplacement domicile - travail habituel;41;2015
118000;Troyes;Déplacement professionnel occasionnel;18;2015
286005;Lille Flandres;Démarches administratives, médicales ou achat;1;2013
223263;Lille Europe;Loisirs, vacances, visite d'un proche ou ami;27;2013
212027;Strasbourg;Démarches administratives, médicales ou achat;3;2016
212027;Strasbourg;Déplacement domicile - étude (y compris stage);24;2016
286005;Lille Flandres;Déplacement domicile - travail habituel;50;2013
271007;Paris Nord;Déplacement domicile - travail habituel;46;2012
212027;Strasbourg;Déplacement professionnel occasionnel;15;2016
182063;Mulhouse;Déplacement professionnel occasionnel;19;2014
192039;Metz;Déplacement domicile - travail habituel;41;2016
271494;Aéroport Charles de Gaulle 2 TGV;;1;2013
391003;Paris Montparnasse 1 et 2 + Vaugirard;Démarches administratives, médicales ou achat;4;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Loisirs, vacances, visite d'un proche ou ami;30;2012
300863;Besançon Franche-Comté TGV;Démarches administratives, médicales ou achat;0;2015
300822;Belfort Montbéliard TGV;Loisirs, vacances, visite d'un proche ou ami;25;2015
300822;Belfort Montbéliard TGV;Déplacement professionnel occasionnel;59;2015
411017;Rouen Rive Droite;Déplacement professionnel occasionnel;14;2014
396002;Le Mans;Démarches administratives, médicales ou achat;4;2015
313874;Amiens;Loisirs, vacances, visite d'un proche ou ami;13;2015
345025;Lens;Démarches administratives, médicales ou achat;3;2016
444000;Caen;Démarches administratives, médicales ou achat;4;2012
763029;Valence TGV Rhône-Alpes Sud;Loisirs, vacances, visite d'un proche ou ami;39;2015
763029;Valence TGV Rhône-Alpes Sud;Déplacement domicile - travail habituel;9;2015
762906;Lyon Saint Exupery TGV;Déplacement domicile - étude (y compris stage);0;2016
755009;Toulon;Démarches administratives, médicales ou achat;3;2014
753657;Arles;Déplacement domicile - étude (y compris stage);17;2014
775007;Nîmes;Démarches administratives, médicales ou achat;2;2014
756056;Nice;Déplacement domicile - étude (y compris stage);20;2014
775007;Nîmes;Déplacement domicile - travail habituel;25;2014
755009;Toulon;Déplacement professionnel occasionnel;11;2014
753657;Arles;Déplacement professionnel occasionnel;16;2014
581009;Bordeaux Saint-Jean;Déplacement domicile - étude (y compris stage);20;2014
581009;Bordeaux Saint-Jean;Démarches administratives, médicales ou achat;3;2014
581009;Bordeaux Saint-Jean;Loisirs, vacances, visite d'un proche ou ami;38;2014
484006;Angers Saint Laud;Démarches administratives, médicales ou achat;2;2015
611004;Toulouse Matabiau;Démarches administratives, médicales ou achat;6;2014
581009;Bordeaux Saint-Jean;Déplacement domicile - travail habituel;17;2014
547000;Paris Austerlitz;Déplacement domicile - travail habituel;37;2013
484006;Angers Saint Laud;Déplacement professionnel occasionnel;25;2015
547000;Paris Austerlitz;Déplacement professionnel occasionnel;21;2013
481002;Nantes;Déplacement domicile - étude (y compris stage);10;2014
751008;Marseille Saint-Charles;Déplacement professionnel occasionnel;17;2013
722025;Lyon Perrache;Démarches administratives, médicales ou achat;4;2011
722025;Lyon Perrache;Loisirs, vacances, visite d'un proche ou ami;13;2011
723197;Lyon Part Dieu;Déplacement domicile - travail habituel;34;2011
722025;Lyon Perrache;Déplacement domicile - travail habituel;53;2011
722025;Lyon Perrache;Déplacement professionnel occasionnel;13;2011
713040;Dijon;Démarches administratives, médicales ou achat;5;2015
677005;Hendaye;Déplacement domicile - travail habituel;5;2016
753657;Arles;Déplacement domicile - travail habituel;25;2014
723197;Lyon Part Dieu;;0;2011
444877;Cherbourg;Déplacement domicile - étude (y compris stage);6;2015
444877;Cherbourg;Démarches administratives, médicales ou achat;2;2015
478404;Laval;Déplacement domicile - étude (y compris stage);12;2011
478404;Laval;Démarches administratives, médicales ou achat;3;2011
444877;Cherbourg;Déplacement professionnel occasionnel;16;2015
476002;Lorient;Déplacement domicile - travail habituel;24;2010
471003;Rennes;Déplacement domicile - travail habituel;37;2014
478404;Laval;Déplacement professionnel occasionnel;18;2011
444000;Caen;Déplacement professionnel occasionnel;12;2012
471003;Rennes;;1;2014
784009;Perpignan;Déplacement domicile - étude (y compris stage);8;2016
